#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-05-06T23:04:34 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-05-06T23:04:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=J/A+A/645/A19/tablea1&-source=J/A+A/645/A19/tablea1&-out=lambdaAir&-out=Line&-out=log(gf)&-out=EP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36450019
#Name: J/A+A/645/A19
#Title: Arcturus Lab (line list) (Fanelli+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/645/a19	    IVOID of underlying data collection
#INFO	creator=Fanelli C.	    First author or institution
#INFO	cites=bibcode:2021A&A...645A..19F	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/645/A19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36450019	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_645_A19_tablea1:
#Name: J/A+A/645/A19/tablea1
#Title: Optical atomic lines
#Column	lambdaAir	(F9.3)	Air wavelength	[ucd=em.wl]
#Column	Line	(F7.2)	Line identification (1)	[ucd=meta.id;spect.line]
#Column	log(gf)	(F6.3)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	EP	(F5.2)	Energy potential	[ucd=phys.energy;phys.atmol.level]
lambdaAir	Line	log(gf)	EP
 7400.179	  24.00	-0.111	 2.90
 7409.342	  28.00	-0.142	 3.80
 7418.320	  26.00	-2.930	 4.14
 7418.666	  26.00	-1.376	 4.14
 7422.275	  28.00	-0.140	 3.64
 7423.183	  22.00	-2.650	 1.44
 7423.497	  14.00	-0.176	 5.62
 7430.538	  26.00	-3.860	 2.59
 7435.591	  26.00	-0.716	 5.31
 7440.911	  26.00	-0.573	 4.91
 7443.021	  26.00	-1.820	 4.19
 7453.997	  26.00	-2.410	 4.19
 7461.520	  26.00	-3.580	 2.56
 7472.750	  26.00	-0.994	 5.35
 7473.554	  26.00	-1.870	 4.61
 7476.375	  26.00	-1.680	 4.80
 7481.739	  26.00	-4.100	 2.76
 7491.647	  26.00	-0.900	 4.30
 7514.198	  26.00	-0.874	 5.31
 7525.110	  28.00	-0.433	 3.64
 7540.429	  26.00	-3.850	 2.73
 7547.309	  12.00	-1.680	 5.93
 7547.896	  26.00	-1.350	 5.10
 7551.104	  26.00	-1.630	 5.09
 7555.597	  28.00	 0.054	 3.85
 7568.898	  26.00	-0.773	 4.28
 7574.042	  28.00	-0.449	 3.83
 7582.121	  26.00	-1.750	 4.96
 7669.710	  14.00	-0.803	 6.19
 7680.266	  14.00	-0.690	 5.86
 7688.396	  14.00	-1.222	 6.19
 7698.964	  19.00	-0.154	 0.00
 7712.663	  27.00	-1.570	 2.54
 7723.207	  26.00	-3.617	 2.28
 7745.513	  26.00	-1.170	 5.09
 7748.884	  28.00	-0.185	 3.71
 7751.108	  26.00	-0.754	 4.99
 7767.443	  22.00	-3.180	 0.90
 7790.317	  22.00	-0.668	 3.18
 7797.580	  28.00	-0.185	 3.90
 7802.473	  26.00	-1.335	 5.09
 7807.908	  26.00	-0.542	 4.99
 7835.309	  13.00	-0.649	 4.02
 7836.134	  13.00	-0.494	 4.02
 7838.126	  27.00	-0.300	 3.97
 7844.558	  26.00	-1.810	 4.83
 7855.399	  26.00	-1.017	 5.06
 7863.786	  28.00	-0.890	 4.54
 7922.023	  22.00	-1.711	 2.47
 7925.852	  14.00	-0.905	 6.22
 7993.600	  22.00	-2.380	 1.87
 7996.435	  22.00	 0.373	 3.34
 8007.226	  27.00	 0.182	 4.15
 8024.843	  22.00	-1.080	 1.88
 8071.284	  14.00	-1.192	 6.10
 8092.631	  29.00	-0.131	 3.82
 8098.724	  12.00	-1.168	 5.95
 8129.312	  26.00	-4.277	 2.76
 8207.741	  26.00	-0.856	 4.45
 8239.127	  26.00	-3.180	 2.42
 8293.513	  26.00	-2.175	 3.30
 8331.913	  26.00	-0.553	 4.39
 8345.186	  26.00	-4.688	 2.69
 8353.162	  22.00	-2.620	 0.81
 8365.631	  26.00	-2.047	 3.25
 8372.792	  27.00	-0.040	 4.07
 8438.922	  22.00	-0.700	 2.26
 8442.975	  22.00	-1.640	 2.25
 8450.892	  22.00	-0.800	 2.25
 8455.271	  24.00	-2.242	 2.71
 8467.147	  22.00	-1.101	 2.12
 8481.980	  26.00	-1.999	 4.19
 8515.108	  26.00	-2.073	 3.02
 8518.027	  22.00	-0.936	 2.13
 8682.983	  22.00	-1.790	 1.05
 8686.352	  14.00	-0.814	 6.21
 8692.329	  22.00	-2.130	 1.05
 8698.706	  26.00	-3.442	 2.99
 8699.454	  26.00	-0.380	 4.96
 8719.577	  22.00	-2.300	 1.74
 8727.140	   6.00	-8.165	 1.26
 8728.010	  14.00	-0.268	 6.18
 8729.143	  26.00	-2.872	 3.41
 8734.711	  22.00	-2.240	 1.05
 8742.445	  14.00	-0.071	 5.87
 8747.425	  26.00	-3.174	 3.02
 8755.749	  26.00	-1.472	 5.35
 8763.966	  26.00	-0.146	 4.65
 8766.680	  22.00	-2.270	 1.07
 8772.865	  13.00	-0.316	 4.02
 8773.896	  13.00	-0.161	 4.02
 8793.342	  26.00	-0.092	 4.61
 8804.624	  26.00	-3.234	 2.28
 8808.170	  26.00	-1.083	 5.01
 8834.017	  26.00	-2.590	 4.22
 8841.277	  13.00	-1.590	 4.09
 8846.740	  26.00	-0.781	 5.01
 8862.049	  26.00	-0.876	 5.36
 8862.548	  28.00	-0.396	 4.09
 8863.587	  26.00	-1.519	 4.97
 8866.931	  26.00	 0.083	 4.55
 8868.430	  26.00	-2.909	 3.02
 8876.024	  26.00	-1.052	 5.02
 8878.250	  26.00	-3.383	 2.99
 8923.569	  12.00	-1.678	 5.39
 8925.295	  14.00	-1.349	 5.95
 8946.260	  26.00	-3.509	 2.85
 8950.188	  26.00	-2.425	 4.15
 8976.865	  24.00	-1.027	 3.09
 8978.197	  26.00	-3.457	 3.41
 8979.192	  22.01	-1.984	 2.59
 8984.886	  26.00	-0.922	 5.10
 8997.153	  12.00	-1.770	 5.93
 9012.074	  26.00	-0.311	 4.99
 9013.977	  26.00	-3.839	 2.28
 9022.010	  14.00	-1.107	 6.27
 9037.613	  23.00	-2.120	 1.18
 9051.451	  14.00	-0.986	 6.27
 9084.184	  26.00	-2.240	 4.26
 9228.093	  16.00	 0.320	 6.52
 9237.538	  16.00	 0.010	 6.52

